filter_name,window,start,end,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,status_counts_json
top2_hot_rank3,2019,2019-01-01,2019-12-31,10,6,0.8333333333333334,3.198411383873573,3.3515837021264248,2.313180829184705,5.357822374232721,8.267270668176675,-3.773584905660373,"{""gap_up_skip"": 3, ""max_hold"": 6, ""no_data"": 1}"
top2_not_hot_rank3,2019,2019-01-01,2019-12-31,77,58,0.5172413793103449,-0.22775506075709845,0.1016967520584506,-2.21801001715351,1.7906018712470315,9.170305676855895,-8.0,"{""breakout_failed"": 5, ""gap_up_skip"": 10, ""max_hold"": 48, ""no_data"": 4, ""stop_hit"": 5, ""weak_open_skip"": 5}"
all,2020,2020-01-01,2020-12-31,221,180,0.5055555555555555,0.10398107044099784,0.11335904601337742,-2.5738518774021832,2.3561948229536487,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 17, ""gap_up_skip"": 32, ""limit_up_buy_blocked"": 2, ""max_hold"": 149, ""no_data"": 3, ""stop_hit"": 14, ""weak_open_skip"": 4}"
top1,2020,2020-01-01,2020-12-31,83,66,0.5303030303030303,0.18253581594066762,0.628190487345416,-2.3351648351648437,2.4934127945982194,9.794988610478374,-11.167512690355329,"{""breakout_failed"": 4, ""gap_up_skip"": 14, ""max_hold"": 56, ""no_data"": 1, ""stop_hit"": 6, ""weak_open_skip"": 2}"
top2,2020,2020-01-01,2020-12-31,142,114,0.5263157894736842,0.2566147606602372,0.1634141720348582,-2.4200990148332524,2.3407276152170144,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 8, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 2, ""max_hold"": 96, ""no_data"": 2, ""stop_hit"": 10, ""weak_open_skip"": 2}"
top3,2020,2020-01-01,2020-12-31,182,146,0.5342465753424658,0.26652479154656417,0.30630546327922226,-2.533707493157472,2.4111458956770013,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 14, ""gap_up_skip"": 27, ""limit_up_buy_blocked"": 2, ""max_hold"": 120, ""no_data"": 3, ""stop_hit"": 12, ""weak_open_skip"": 4}"
hot_rank1,2020,2020-01-01,2020-12-31,10,10,0.3,-2.348827716571144,-2.185857620640225,-3.647215596428694,0.323239117710409,2.485632439549481,-7.999999999999989,"{""breakout_failed"": 1, ""max_hold"": 8, ""stop_hit"": 1}"
not_hot_rank1,2020,2020-01-01,2020-12-31,211,170,0.5176470588235295,0.24826394026524148,0.1608070519900158,-2.428073496491944,2.399829674860595,22.702702702702698,-12.140575079872201,"{""breakout_failed"": 16, ""gap_up_skip"": 32, ""limit_up_buy_blocked"": 2, ""max_hold"": 141, ""no_data"": 3, ""stop_hit"": 13, ""weak_open_skip"": 4}"
top1_hot_rank1,2020,2020-01-01,2020-12-31,8,8,0.25,-3.0059437725912903,-2.8921097978709573,-4.706330804139337,-1.3621584579943402,2.3278370514064033,-7.999999999999989,"{""breakout_failed"": 1, ""max_hold"": 6, ""stop_hit"": 1}"
top1_not_hot_rank1,2020,2020-01-01,2020-12-31,83,63,0.5396825396825397,0.23207361626171044,0.5633802816901414,-2.287958437086913,2.5697969543147154,9.794988610478374,-11.167512690355329,"{""breakout_failed"": 4, ""gap_up_skip"": 17, ""max_hold"": 53, ""no_data"": 1, ""stop_hit"": 6, ""weak_open_skip"": 2}"
