base_high,base_low,base_range_pct,blocked_sell_days,breakout_pct,close,code,date,hold_days,pnl_pct,rel20_pct,ret20_pct,ret60_pct,score,status,volume_ratio
28.08,24.91,12.725812926535522,0,4.095441595441604,29.23,002008,2025-02-20,5,-2.568493150684932,5.538835203250136,15.214820654316119,4.917444364680557,86.92006469566597,max_hold,2.219516289253705
11.3,10.33,9.390125847047441,0,8.407079646017692,12.25,002646,2024-12-12,5,-8.360128617363337,11.548541789943844,15.02347417840375,43.10747663551402,116.3457333490587,stop_hit,4.115602789634256
7.55,6.63,13.876319758672699,0,7.549668874172177,8.12,603903,2024-12-12,3,-7.999999999999992,14.377026972933415,17.85195936139332,46.3063063063063,101.79013194636036,stop_hit,5.7509323135131085
15.95,14.3,11.538461538461528,0,5.266457680250783,16.79,600422,2024-12-12,5,-0.6586826347305355,6.623428267277798,10.098360655737704,31.58307210031348,98.37391974304316,max_hold,3.1657500737846354
29.8,27.0,10.370370370370372,0,5.906040268456369,31.56,002864,2024-12-12,5,-1.1220457764855107,8.400289164180986,11.875221552640891,32.88421052631578,96.51202980036786,max_hold,3.87412377711893
13.48,11.91,13.18219983207389,0,5.860534124629074,14.27,600697,2024-12-12,5,-6.847026678841674,12.730279337924458,16.205211726384363,47.26522187822497,94.75481531570055,breakout_failed,4.284585124192204
7.65,6.95,10.071942446043169,0,7.581699346405229,8.23,002357,2025-02-19,5,9.477521263669493,5.144223103168667,13.360881542699744,27.993779160186637,106.05598539238821,max_hold,4.049119497646148
30.59,27.05,13.086876155268017,,9.937888198757774,33.63,300919,2024-09-27,,,6.294138577856144,21.189189189189193,9.543973941368078,109.32642916106713,gap_up_skip,2.1060129774134646
27.43,24.15,13.581780538302283,0,7.473569084943494,29.48,300926,2025-02-25,5,-5.037440435670526,8.081965543521338,17.543859649122815,39.51727401798393,106.59449814502575,max_hold,2.7295661466905052
13.09,11.51,13.72719374456994,0,4.507257448433918,13.68,603727,2025-02-25,5,0.43352601156069726,5.110970216006571,14.572864321608048,14.86146095717884,83.23524958603356,max_hold,3.687901558931528
