window,regime_name,regimes_csv,min_regime_score,entry_band,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,eligible_days,raw_signals
2020,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_0,55,0.5636363636363636,1.1051095379937548,0.5633802816901414,-1.8441624653033386,3.5407904929782053,232,146
2020,BULL_RANGE_NEUTRAL_SCORE3,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",3,open_m3_p2,68,0.5735294117647058,1.9843314086895323,0.945454816271204,-1.270191769316904,4.1816264071711755,141,103
2020,BULL_RANGE_NEUTRAL_SCORE3,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",3,open_m3_p1,57,0.5614035087719298,1.458225508987678,0.8833333333333353,-1.455767077267626,3.506878877798751,141,103
2020,BULL_RANGE_NEUTRAL_SCORE3,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",3,open_m3_0,39,0.5384615384615384,1.3894815677158552,0.20397756246812418,-1.5449050351324014,3.109187812001328,141,103
2024q4_2025q1,STRONG_BULL,STRONG_BULL,,open_m3_p2,23,0.4782608695652174,1.332003164211093,-0.16220600162205656,-1.9084739105861632,2.9589724889395503,40,25
2024q4_2025q1,STRONG_BULL,STRONG_BULL,,open_m3_p1,22,0.5,1.483073807846847,0.3443564954449282,-1.5812116925978357,3.047751927126601,40,25
2024q4_2025q1,STRONG_BULL,STRONG_BULL,,open_m3_0,17,0.4117647058823529,0.4712447173628193,-0.5194805194805199,-3.4730538922155585,1.8562589243217371,40,25
2024q4_2025q1,STRONG_RANGE,STRONG_RANGE,,open_m3_p2,40,0.475,2.054234121570753,-0.2127659574468103,-2.777151548489696,3.813784113559027,58,54
2024q4_2025q1,STRONG_RANGE,STRONG_RANGE,,open_m3_p1,36,0.4722222222222222,1.9431353407909815,-0.2127659574468103,-3.043340483619354,3.8028045116295655,58,54
2024q4_2025q1,STRONG_RANGE,STRONG_RANGE,,open_m3_0,28,0.5,2.3002627922462393,0.12376237623762552,-3.1182548671809984,4.719825456720692,58,54
2024q4_2025q1,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_p2,15,0.26666666666666666,-0.10648223731319345,-1.7105263157894723,-3.5183612391814254,1.8650402010711535,19,28
2024q4_2025q1,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_p1,13,0.15384615384615385,-0.85769186385038,-2.1464275213172503,-3.575184016824394,-1.1086474501108607,19,28
2024q4_2025q1,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_0,11,0.18181818181818182,-0.5512232516833168,-2.1464275213172503,-4.657349182805141,-0.6984159440756066,19,28
2024q4_2025q1,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_p2,63,0.47619047619047616,1.7905625022172262,-0.16220600162205656,-2.410318716787552,3.4483440565341175,98,79
2024q4_2025q1,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_p1,58,0.4827586206896552,1.7686292420880338,-0.08110300081102828,-2.936464279380434,3.2512381044863075,98,79
2024q4_2025q1,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_0,45,0.4666666666666667,1.6093004084013918,-0.4255319148936206,-3.4246575342465837,3.6072144288577093,98,79
2024q4_2025q1,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p2,55,0.41818181818181815,1.4649478418751312,-0.5898123324396752,-3.070560322412905,3.8200593691398255,77,82
2024q4_2025q1,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p1,49,0.3877551020408163,1.200058735477967,-1.0989010989011034,-3.4246575342465837,2.596849723286518,77,82
2024q4_2025q1,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_0,39,0.41025641025641024,1.4959974978045696,-0.4366812227074354,-3.445662100456624,3.9983945944014216,77,82
2024q4_2025q1,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p2,78,0.4358974358974359,1.425746206153684,-0.45806663875097897,-2.936464279380434,3.5277792426959134,117,107
