trade_date,open,high,low,close,volume
2026-03-24,584.168,587.284,581.291,583.339,57750895
2026-03-25,588.493,590.72,585.047,587.174,60475491
2026-03-26,581.96,583.988,572.8,573.16,81492124
2026-03-27,570.183,570.393,560.953,561.962,82702240
2026-03-30,566.757,567.426,554.99,557.667,70602622
2026-03-31,563.67,578.004,563.59,576.546,95877997
2026-04-01,580.841,587.093,579.782,583.668,79435132
2026-04-02,573.34,585.406,571.292,584.337,50941709
2026-04-06,585.586,589.961,584.048,587.854,35108496
2026-04-07,584.997,588.333,577.765,587.943,49948195
2026-04-08,608.041,609.23,601.459,605.424,63085996
2026-04-09,605.264,609.829,602.368,609.52,37837538
2026-04-10,611.168,612.996,608.91,610.399,34038533
2026-04-13,608.811,626.052,607.442,616.712,32972110
2026-04-14,619.539,627.91,619.419,627.91,49921081
2026-04-15,628.389,637.129,627.51,636.7,50102386
2026-04-16,638.508,641.475,634.557,639.767,42320581
2026-04-17,644.881,649.286,643.363,648.137,53488871
2026-04-20,647.328,648.047,641.814,646.08,37138511
2026-04-21,647.698,649.486,641.505,643.622,39580523
2026-04-22,649.436,654.61,647.808,654.39,37368402
2026-04-23,652.832,656.198,644.811,650.704,40099827
2026-04-24,657.787,663.78,655.809,663.151,45563050
2026-04-27,662.671,663.7,659.964,663.5,32717030
2026-04-28,656.688,658.915,653.092,656.828,34147916
2026-04-29,657.907,660.993,655.869,660.843,31724860
2026-04-30,664.619,668.165,656.838,667.007,40622226
2026-05-01,668.425,675.228,668.065,673.41,39172607
2026-05-04,673.919,675.987,668.165,672.141,34541990
2026-05-05,677.215,682.023,676.766,680.861,37101063
2026-05-06,687.025,695.166,685.726,695.006,38778492
2026-05-07,695.815,700.47,691.01,694.177,43779087
2026-05-08,699.151,710.449,698.732,710.449,44320421
2026-05-11,709.58,713.805,708.131,712.507,36019146
2026-05-12,707.442,709.4,695.875,706.463,45873009
2026-05-13,709.18,715.863,704.056,713.925,40012526
2026-05-14,713.835,721.237,713.436,718.999,33327545
2026-05-15,709.36,714.345,704.775,708.151,51792656
2026-05-18,710.758,711.288,698.082,705.105,49834549
2026-05-19,699.041,705.714,694.486,700.759,46827529
2026-05-20,704.515,712.367,703.017,712.367,36779222
2026-05-21,708.211,716.332,705.994,713.725,36415360
2026-05-22,717.281,721.327,715.164,716.752,33118575
2026-05-26,725.163,730.367,723.365,729.478,34254692
2026-05-27,732.155,732.515,724.643,728.649,35148674
2026-05-28,728.928,735.791,725.612,734.792,32839952
2026-05-29,737.03,740.815,734.442,737.499,37541668
2026-06-01,736.23,744.831,735.182,741.924,33890559
2026-06-02,741.585,745.62,738.418,745.34,30085237
2026-06-03,746.489,747.828,740.196,743.393,40270198
2026-06-04,734.672,742.682,731.815,739.797,40782580
2026-06-05,729.258,730.886,703.546,704.286,99606571
2026-06-08,717.022,722.236,712.287,715.283,47401451
2026-06-09,722.186,724.863,685.616,707.053,91932171
2026-06-10,700.889,710.499,692.169,692.928,65334283
2026-06-11,698.522,717.583,694.237,716.332,71798857
2026-06-12,716.822,723.215,710.499,720.548,51236021
2026-06-15,737.289,743.942,736.57,743.183,46710216
2026-06-16,741.435,743.403,728.839,729.058,45348675
2026-06-17,734.382,734.872,720.058,721.716,51669322
2026-06-18,736.39,741.005,731.705,739.807,50154595
2026-06-22,742.02,745.45,734.39,737.95,43518595
2026-06-23,715.74,723.61,712.11,713.65,53354151
2026-06-24,715.37,719.93,704.45,710.62,52480437
2026-06-25,725.9,726.83,705.3,716.38,50144089
2026-06-26,707.13,715.555,702.81,706.52,47081821
2026-06-29,713.99,724.58,705.172,724.08,44939090
2026-06-30,724.18,737.62,723.91,736.4,42121829
2026-07-01,729.19,731.92,724.6,725.17,40803791
2026-07-02,725.58,730.83,707.56,712.6,51086080
